; ID	pinyin	digit
1	0	0
2	1	1
3	2	2
3	a	2
3	b	2
3	c	2
3	A	2
3	B	2
3	C	2
4	3	3
4	d	3
4	e	3
4	f	3
4	D	3
4	E	3
4	F	3
5	4	4
5	g	4
5	h	4
5	i	4
5	G	4
5	H	4
5	I	4
6	5	5
6	j	5
6	k	5
6	l	5
6	J	5
6	K	5
6	L	5
7	6	6
7	m	6
7	n	6
7	o	6
7	M	6
7	N	6
7	O	6
8	7	7
8	p	7
8	q	7
8	r	7
8	s	7
8	P	7
8	Q	7
8	R	7
8	S	7
9	8	8
9	t	8
9	u	8
9	v	8
9	T	8
9	U	8
9	V	8
10	9	9
10	w	9
10	x	9
10	y	9
10	z	9
10	W	9
10	X	9
10	Y	9
10	Z	9
13	ai	24
14	an	26
14	ao	26
11	ba	22
13	bi	24
14	bo	26
15	bu	28
11	ca	22
12	ce	23
13	ci	24
15	cu	28
16	da	32
17	de	33
18	di	34
21	du	38
18	ei	34
19	en	36
20	er	37
16	fa	32
19	fo	36
21	fu	38
22	ga	42
23	ge	43
24	gu	48
22	ha	42
23	he	43
24	hu	48
27	ji	54
29	ju	58
25	ka	52
26	ke	53
29	ku	58
25	la	52
26	le	53
27	li	54
28	lo	56
29	lu	58
29	lv	58
30	ma	62
31	me	63
32	mi	64
33	mo	66
34	mu	68
30	na	62
31	ne	63
32	ni	64
34	nu	68
34	nv	68
34	ou	68
35	pa	72
37	pi	74
38	po	76
39	pu	78
37	qi	74
39	qu	78
36	re	73
37	ri	74
39	ru	78
35	sa	72
36	se	73
37	si	74
39	su	78
40	ta	82
41	te	83
42	ti	84
43	tu	88
44	wa	92
47	wo	96
48	wu	98
46	xi	94
48	xu	98
44	ya	92
45	ye	93
46	yi	94
47	yo	96
48	yu	98
44	za	92
45	ze	93
46	zi	94
48	zu	98
58	ang	264
49	bai	224
50	ban	226
50	bao	226
51	bei	234
52	ben	236
54	bie	243
56	bin	246
49	cai	224
50	can	226
50	cao	226
52	cen	236
53	cha	242
54	che	243
55	chi	244
57	chu	248
59	cou	268
60	cui	284
61	cun	286
61	cuo	286
62	dai	324
63	dan	326
63	dao	326
64	dei	334
65	den	336
66	dia	342
67	die	343
68	diu	348
70	dou	368
71	dui	384
72	dun	386
72	duo	386
69	eng	364
63	fan	326
64	fei	334
65	fen	336
70	fou	368
73	gai	424
74	gan	426
74	gao	426
75	gei	434
76	gen	436
77	gou	468
78	gua	482
79	gui	484
80	gun	486
80	guo	486
73	hai	424
74	han	426
74	hao	426
75	hei	434
76	hen	436
77	hou	468
78	hua	482
79	hui	484
80	hun	486
80	huo	486
85	jia	542
86	jie	543
87	jin	546
88	jiu	548
91	jue	583
93	jun	586
81	kai	524
82	kan	526
82	kao	526
83	kei	534
84	ken	536
89	kou	568
90	kua	582
92	kui	584
93	kun	586
93	kuo	586
81	lai	524
82	lan	526
82	lao	526
83	lei	534
85	lia	542
86	lie	543
87	lin	546
88	liu	548
89	lou	568
91	lue	583
93	lun	586
93	luo	586
91	lve	583
94	mai	624
95	man	626
95	mao	626
96	mei	634
97	men	636
98	mie	643
99	min	646
100	miu	648
101	mou	668
94	nai	624
95	nan	626
95	nao	626
96	nei	634
97	nen	636
98	nie	643
99	nin	646
100	niu	648
101	nou	668
102	nue	683
103	nun	686
103	nuo	686
102	nve	683
104	pai	724
105	pan	726
105	pao	726
106	pei	734
107	pen	736
109	pie	743
111	pin	746
113	pou	768
108	qia	742
109	qie	743
111	qin	746
112	qiu	748
115	que	783
117	qun	786
105	ran	726
105	rao	726
107	ren	736
113	rou	768
114	rua	782
116	rui	784
117	run	786
117	ruo	786
104	sai	724
105	san	726
105	sao	726
107	sen	736
108	sha	742
109	she	743
110	shi	744
112	shu	748
113	sou	768
116	sui	784
117	sun	786
117	suo	786
118	tai	824
119	tan	826
119	tao	826
120	tei	834
121	tie	843
122	tou	868
123	tui	884
124	tun	886
124	tuo	886
125	wai	924
126	wan	926
127	wei	934
128	wen	936
129	xia	942
130	xie	943
132	xin	946
133	xiu	948
135	xue	983
137	xun	986
126	yan	926
126	yao	926
132	yin	946
134	you	968
135	yue	983
137	yun	986
125	zai	924
126	zan	926
126	zao	926
127	zei	934
128	zen	936
129	zha	942
130	zhe	943
131	zhi	944
133	zhu	948
134	zou	968
136	zui	984
137	zun	986
137	zuo	986
138	bang	2264
139	beng	2364
141	bian	2426
141	biao	2426
143	bing	2464
138	cang	2264
139	ceng	2364
140	chai	2424
141	chan	2426
141	chao	2426
142	chen	2436
144	chou	2468
145	chua	2482
146	chui	2484
147	chun	2486
147	chuo	2486
148	cong	2664
149	cuan	2826
150	dang	3264
151	deng	3364
152	dian	3426
152	diao	3426
153	ding	3464
154	dong	3664
155	duan	3826
150	fang	3264
151	feng	3364
152	fiao	3426
156	gang	4264
157	geng	4364
158	gong	4664
159	guai	4824
160	guan	4826
156	hang	4264
157	heng	4364
158	hong	4664
159	huai	4824
160	huan	4826
163	jian	5426
163	jiao	5426
164	jing	5464
167	juan	5826
161	kang	5264
162	keng	5364
165	kong	5664
166	kuai	5824
167	kuan	5826
161	lang	5264
162	leng	5364
163	lian	5426
163	liao	5426
164	ling	5464
165	long	5664
167	luan	5826
168	mang	6264
169	meng	6364
170	mian	6426
170	miao	6426
171	ming	6464
168	nang	6264
169	neng	6364
170	nian	6426
170	niao	6426
171	ning	6464
172	nong	6664
173	nuan	6826
174	pang	7264
175	peng	7364
177	pian	7426
177	piao	7426
180	ping	7464
177	qian	7426
177	qiao	7426
180	qing	7464
186	quan	7826
174	rang	7264
175	reng	7364
185	rong	7664
186	ruan	7826
174	sang	7264
175	seng	7364
176	shai	7424
177	shan	7426
177	shao	7426
178	shei	7434
179	shen	7436
181	shou	7468
182	shua	7482
183	shui	7484
184	shun	7486
184	shuo	7486
185	song	7664
186	suan	7826
187	tang	8264
188	teng	8364
189	tian	8426
189	tiao	8426
190	ting	8464
191	tong	8664
192	tuan	8826
193	wang	9264
194	weng	9364
196	xian	9426
196	xiao	9426
199	xing	9464
205	xuan	9826
193	yang	9264
199	ying	9464
204	yong	9664
205	yuan	9826
193	zang	9264
194	zeng	9364
195	zhai	9424
196	zhan	9426
196	zhao	9426
197	zhei	9434
198	zhen	9436
200	zhou	9468
201	zhua	9482
202	zhui	9484
203	zhun	9486
203	zhuo	9486
204	zong	9664
205	zuan	9826
206	chang	24264
207	cheng	24364
208	chong	24664
209	chuai	24824
210	chuan	24826
211	guang	48264
211	huang	48264
212	jiang	54264
213	jiong	54664
214	kuang	58264
212	liang	54264
215	niang	64264
216	qiang	74264
218	qiong	74664
216	shang	74264
217	sheng	74364
219	shuai	74824
220	shuan	74826
221	xiang	94264
223	xiong	94664
221	zhang	94264
222	zheng	94364
223	zhong	94664
224	zhuai	94824
225	zhuan	94826
226	chuang	248264
227	shuang	748264
228	zhuang	948264
