; 英文的编码用大写字母表示
0 0 0
1 1 0
2 2 0
3 3 0
4 4 0
5 5 0
6 6 0
7 7 0
8 8 0
9 9 0
a A 0
b B 0
c C 0
d D 0
e E 0
f F 0
g G 0
h H 0
i I 0
j J 0
k K 0
l L 0
m M 0
n N 0
o O 0
p P 0
q Q 0
r R 0
s S 0
t T 0
u U 0
v V 0
w W 0
x X 0
y Y 0
z Z 0
A A 0
B B 0
C C 0
D D 0
E E 0
F F 0
G G 0
H H 0
I I 0
J J 0
K K 0
L L 0
M M 0
N N 0
O O 0
P P 0
Q Q 0
R R 0
S S 0
T T 0
U U 0
V V 0
W W 0
X X 0
Y Y 0
Z Z 0
丂 kao 0
丂 yu 0
丄 shang 0
丅 xia 0
丆 shi 0
丏 mian 0
丒 chou 0
丗 shi 0
丟 diu 0
丠 qiu 0
両 liang 0
丣 you 0
並 bing 0
丩 jiu 0
丮 ji 0
丯 jie 0
丱 guan 0
丱 kuang 0
丳 chan 0
丵 zhuo 0
丷 ba 0
丼 jing 0
乀 fu 0
乁 fu 0
乁 ji 0
乁 yi 0
乂 ai 0
乂 yi 0
乄 me 0
乄 shi 0
乄 wu 0
乆 jiu 0
乊 hu 0
乑 pan 0
乑 yin 0
乕 hu 0
乗 cheng 0
乗 sheng 0
乚 yin 0
乛 zhe 0
乢 gai 0
乣 jiu 0
乤 xia 0
乥  0
乧 dou 0
乨 shi 0
乪 nang 0
乫 jia 0
乬 ju 0
乭 shi 0
乮 mao 0
乯 hu 0
乯 o 0
乲  0
乴 xue 0
乵 yan 0
乶 fu 0
乷 sha 0
乸 na 0
乹 gan 0
乹 qian 0
乺 suo 0
乻 yu 0
乼 zhu 0
乽 zhe 0
乿 luan 0
乿 zhi 0
亀 gui 0
亁 gan 0
亂 luan 0
亃 lin 0
亄 yi 0
亅 jue 0
亇 ding 0
亊 shi 0
亐 yu 20
亖 si 478
亗 sui 117
亙 gen 53
亙 geng 0
亜 ya 792
亝 qi 26
亝 zhai 0
亞 ya 2410
亣 da 149
亪 ye 23
亯 xiang 17
亰 jing 67
亱 ye 169
亴 you 6
亶 dan 59
亷 lian 6
亸 duo 13
亹 men 37
亹 wei 0
亼 ji 2592
亽 ji 6164
亾 wang 1270
亾 wu 1000
仈 ba 178
仌 bing 331
仏 fo 43
仐 jin 12
仐 san 0
仐 tao 0
仒 bing 264
仚 xian 64
仛 cha 7
仛 duo 0
仛 tuo 7
仜 hong 3
仠 gan 246
仠 han 0
仢 bo 14
仦 chao 108
仧 chang 146
仧 zhang 0
仩 chang 1876
仭 ren 214
仮 fan 231
仯 chao 138
仯 miao 0
仱 jing 30
仱 qian 0
仴 wo 162
仸 fo 140
仸 yao 0
仹 feng 63
仺 cang 230
仺 chuang 0
仼 wang 178
仾 di 6
伀 zhong 37
伂 pei 22
伃 yu 22
伄 diao 19
伅 dun 10
伆 wen 769
伆 wu 0
伇 yi 18
伈 xin 7441
伋 ji 91
伌 ai 44
伒 jin 34
伒 yin 0
伓 pi 25
伔 dan 26
伔 shen 0
伕 fu 94
伖 nu 33
伖 tang 0
伜 cui 7
伜 zu 0
伝 yun 153
伡 che 46
伡 ju 0
伣 qian 41
伣 xian 0
伨 xun 8
伩 xin 41
伬 che 0
伬 chi 0
伭 xian 5
伭 xuan 0
伮 nu 181
伱 ni 93080
伳 xie 32
伵 xu 5
伷 zhou 17
伹 qu 24
伹 zu 0
伻 beng 10
伾 pi 56
伿 yi 141
佀 si 76
佁 chi 5
佁 si 0
佁 yi 5
佂 zheng 89
佄 gan 265
佄 han 0
佅 mai 8
佇 zhu 48
佈 bu 726
佉 qu 1173
佊 bi 61
佋 shao 9
佋 zhao 0
佌 ci 376
佒 yang 14
佔 chan 0
佔 dian 0
佔 zhan 312
佖 bi 84
佡 xian 164
佢 qu 49485
佦 shi 47
佨 bao 45
佪 huai 1308
佪 hui 1000
佫 ge 199
佫 he 0
佭 xiang 52
佮 e 39
佮 ge 0
佱 fa 23
佲 ming 238
併 bing 111
佷 hen 1005
佷 heng 1000
佸 huo 84
佹 gui 44
佺 quan 288
佽 ci 480
侀 xing 58
侁 shen 19
侂 tuo 40
侅 gai 92
侅 hai 0
來 lai 80735
侇 yi 14
侊 gong 80
侊 guang 0
侌 yin 13
侎 mi 182
侐 xu 8
侒 an 350
侓 lu 167
侕 er 384
侖 lun 158
侘 cha 22
侙 chi 12
侚 xun 16
侜 zhou 8
侞 ru 956
侟 cun 129
侟 jian 0
価 si 82
侢 dai 201
侤 ta 0
侫 ning 0
侭 jin 0
侰 jiong 0
侱 cheng 0
侱 ting 0
侲 zhen 0
侳 zuo 0
侴 chou 0
侶 lv 0
侷 ju 0
侸 dou 0
侸 shu 0
侹 ting 0
侺 shen 0
侻 tui 0
侻 tuo 0
侼 bo 0
侽 nan 0
侾 xiao 0
俀 tui 0
俁 yu 0
係 xi 0
俆 shu 0
俆 xu 0
俇 guang 0
俈 ku 0
俉 wu 0
俋 yi 0
俌 fu 0
俍 lang 0
俍 liang 0
俒 hun 0
俓 jing 0
俓 ying 0
俔 qian 0
俔 xian 0
俕 san 0
俖 pei 0
俙 xi 0
俛 fu 0
俛 mian 0
俠 xia 0
俢 xiu 0
俤 di 0
俥 che 0
俥 ju 0
俧 zhi 0
俫 lai 0
俬 si 0
俰 huo 0
俲 xiao 0
俴 jian 0
俵 biao 0
俶 chu 0
俶 shu 0
俶 ti 0
俷 fei 0
俹 ya 0
俻 bei 0
俼 yu 0
俽 xin 0
俿 chi 0
俿 hu 0
倀 chang 0
倀 cheng 0
倁 zhi 0
倂 bing 0
倃 jiu 0
倄 yao 0
倅 cui 0
倅 zu 0
倆 lia 0
倆 liang 0
倇 wan 0
倈 lai 0
倉 cang 0
倉 chuang 0
倊 zong 0
個 ge 110331
倎 tian 8
倐 shu 35
們 men 42866
倓 dan 59
倓 tan 0
倕 chui 11
倕 zhui 0
倖 xing 2577
倗 peng 796
倛 qi 232
倝 gan 23
倞 jing 118
倞 liang 0
倠 sui 8
倢 jie 95
倢 qie 0
倣 fang 2154
値 zhi 926
倧 zong 16
倫 lun 2469
倯 song 68
倰 leng 19
倰 ling 0
倱 hun 15
倲 dong 548
倳 zi 233
倴 ben 112
倵 wu 48
倶 ju 150
倷 nai 383
倸 cai 62
倹 jian 12
倻 ye 149
倽 sha 50
倿 ning 180
偀 ying 62
偁 chen 5
偁 cheng 5
偂 jian 734
偂 qian 0
偄 ru 10
偄 ruan 0
偅 tong 352
偅 zhong 0
偆 chun 122
偉 wei 1647
偊 yu 28
偋 bing 180
偍 ti 54
偐 yan 26
偑 feng 227
偒 dang 14
偒 tang 0
偓 wo 406
偔 e 12
偖 che 42
偗 sheng 31
偘 kan 10
偙 di 179
偛 cha 37
偝 bei 314
偞 xie 78
偞 ye 0
偟 huang 55
偠 yao 2939
偡 zhan 9
偢 chou 24
偢 qiao 0
偣 an 17
偣 yan 0
偤 you 14
偦 xu 12
偧 zha 4
偨 ci 15
偩 fu 183
偪 bi 157
偪 fu 0
偫 zhi 13
偭 mian 280
偮 ji 11
偯 yi 17
偰 xie 48
偱 xun 35
偲 cai 722
偲 si 500
偳 duan 33
側 ce 187
側 ze 0
側 zhai 0
偵 zhen 375
偸 tou 944
偹 bei 51
偺 za 22
偺 zan 22
偼 jie 34
偽 wei 8992
傁 sou 12
傂 si 15
傂 zhi 0
傃 su 41
傄 xia 3
傆 yuan 740
傇 rong 4
傉 nu 11
傊 yun 7
傋 gou 133
傋 jiang 0
傌 ma 200
傎 dian 57
傏 tang 18
傐 hao 6
傑 jie 2116
傒 xi 62
傓 shan 10
傔 jian 22
