; 数字键盘 abc def ghi jkl mno pqrs tuv wxyz 字符放在一个按键上。
; 按键  编码

0 0
1 1
1 '
2 2
2 a
2 b
2 c
2 A
2 B
2 C
3 3
3 d
3 e
3 f
3 D
3 E
3 F
4 4
4 g
4 h
4 i
4 G
4 H
4 I
5 5
5 j
5 k
5 l
5 J
5 K
5 L
6 6
6 m
6 n
6 o
6 M
6 N
6 O
7 7
7 p
7 q
7 r
7 s
7 P
7 Q
7 R
7 S
8 8
8 t
8 u
8 v
8 T
8 U
8 V
9 9
9 w
9 x
9 y
9 z
9 W
9 X
9 Y
9 Z

' '
a a
b b
c c
d d
e e
f f
g g
h h
i i
j j
k k
l l
m m
n n
o o
p p
q q
r r
s s
t t
u u
v v
w w
x x
y y
z z
a A
b B
c C
d D
e E
f F
g G
h H
i I
j J
k K
l L
m M
n N
o O
p P
q Q
r R
s S
t T
u U
v V
w W
x X
y Y
z Z
A A
B B
C C
D D
E E
F F
G G
H H
I I
J J
K K
L L
M M
N N
O O
P P
Q Q
R R
S S
T T
U U
V V
W W
X X
Y Y
Z Z

