; ID	pinyin	digit
1	0	1
2	1	2
3	2	3
3	a	3
3	b	3
3	c	3
3	A	3
3	B	3
3	C	3
4	3	4
4	d	4
4	e	4
4	f	4
4	D	4
4	E	4
4	F	4
5	4	5
5	g	5
5	h	5
5	i	5
5	G	5
5	H	5
5	I	5
6	5	6
6	j	6
6	k	6
6	l	6
6	J	6
6	K	6
6	L	6
7	6	7
7	m	7
7	n	7
7	o	7
7	M	7
7	N	7
7	O	7
8	7	8
8	p	8
8	q	8
8	r	8
8	s	8
8	P	8
8	Q	8
8	R	8
8	S	8
9	8	9
9	t	9
9	u	9
9	v	9
9	T	9
9	U	9
9	V	9
10	9	10
10	w	10
10	x	10
10	y	10
10	z	10
10	W	10
10	X	10
10	Y	10
10	Z	10
35	ai	35
37	an	37
37	ao	37
33	ba	33
35	bi	35
37	bo	37
39	bu	39
33	ca	33
34	ce	34
35	ci	35
39	cu	39
43	da	43
44	de	44
45	di	45
49	du	49
45	ei	45
47	en	47
48	er	48
43	fa	43
47	fo	47
49	fu	49
53	ga	53
54	ge	54
59	gu	59
53	ha	53
54	he	54
59	hu	59
65	ji	65
69	ju	69
63	ka	63
64	ke	64
69	ku	69
63	la	63
64	le	64
65	li	65
67	lo	67
69	lu	69
69	lv	69
73	ma	73
74	me	74
75	mi	75
77	mo	77
79	mu	79
73	na	73
74	ne	74
75	ni	75
79	nu	79
79	nv	79
79	ou	79
83	pa	83
85	pi	85
87	po	87
89	pu	89
85	qi	85
89	qu	89
84	re	84
85	ri	85
89	ru	89
83	sa	83
84	se	84
85	si	85
89	su	89
93	ta	93
94	te	94
95	ti	95
99	tu	99
103	wa	103
107	wo	107
109	wu	109
105	xi	105
109	xu	109
103	ya	103
104	ye	104
105	yi	105
107	yo	107
109	yu	109
103	za	103
104	ze	104
105	zi	105
109	zu	109
238	ang	375
229	bai	335
230	ban	337
230	bao	337
231	bei	345
232	ben	347
234	bie	354
236	bin	357
229	cai	335
230	can	337
230	cao	337
232	cen	347
233	cha	353
234	che	354
235	chi	355
237	chu	359
239	cou	379
240	cui	395
241	cun	397
241	cuo	397
242	dai	435
243	dan	437
243	dao	437
244	dei	445
245	den	447
246	dia	453
247	die	454
248	diu	459
250	dou	479
251	dui	495
252	dun	497
252	duo	497
249	eng	475
243	fan	437
244	fei	445
245	fen	447
250	fou	479
253	gai	535
254	gan	537
254	gao	537
255	gei	545
256	gen	547
257	gou	579
258	gua	593
